id,name,salary_from,salary_to,currency,role,city,fmt,experience,employer,date,key_skills,grade
126832067,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,БПС Инновационные Программные Решения,2025-10-22,"['UML', 'BPMN', 'Apache Kafka', 'API', 'JSON API', 'REST API', 'XML']",middle+/senior
126552855,Системный аналитик,130000.0,330000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,Outlines Technologies,2025-10-15,"['SQL', 'UML', 'Системный анализ', 'BPMN', 'PlantUML', 'Use case', 'Анализ требований', 'JSON API', 'Микросервисная архитектура', 'Документирование бизнес-требований', 'Sequence Diagram', 'REST API']",middle+/senior
125393153,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,гибрид,от 1 года до 3 лет,Купер,2025-10-21,"['Бизнес-анализ', 'BPMN', 'SQL', 'Анализ бизнес-процессов', 'UML']",junior+/middle
126689228,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,не указано,от 1 года до 3 лет,Крокодил,2025-10-19,"['SQL', 'Системный анализ', 'Agile', 'BPMN', 'UML']",junior+/middle
126802080,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Новосибирск,не указано,нет опыта,Центр финансовых технологий,2025-10-22,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",стажёр/junior
126779448,Бизнес-аналитик,130000.0,245000.0,RUR,Системный аналитик,Екатеринбург,не указано,нет опыта,ИТ-Элемент29,2025-10-21,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",стажёр/junior
126812625,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Новосибирск,гибрид,от 1 года до 3 лет,Вебзайм,2025-10-22,"['Бизнес-анализ', 'BPMN', 'SQL', 'Анализ бизнес-процессов', 'UML']",junior+/middle
126807560,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Санкт-Петербург,не указано,от 3 до 6 лет,Контур,2025-10-22,['4'],middle+/senior
126719029,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,не указано,от 1 года до 3 лет,АФЛТ-Системс,2025-10-20,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",junior+/middle
125587473,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,не указано,от 1 года до 3 лет,GlowByte,2025-10-22,"['SQL', 'Python', 'ML', 'A/B/n']",junior+/middle
125939964,эксперт по сопровождению,110000.0,200000.0,RUR,Аналитик,Москва,не указано,от 1 года до 3 лет,ОТР,2025-09-30,['SQL'],junior+/middle
126536553,Инженер данных,100000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,гибрид,нет опыта,Trafficsoft,2025-10-20,"['SQL', 'Python', 'Power BI', 'Анализ данных', 'PostgreSQL']",стажёр/junior
126714023,Аналитик,40000.0,60000.0,RUR,"BI-аналитик, аналитик данных",Санкт-Петербург,не указано,нет опыта,Topface Media,2025-10-20,"['Python', 'SQL', 'Работа с базами данных', 'Анализ данных', 'Базы данных', 'Сбор и анализ информации']",стажёр/junior
126727483,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,не указано,от 3 до 6 лет,Компания «Кронштадт»,2025-10-20,"['Бизнес-анализ', 'BPMN', 'SQL', 'Анализ бизнес-процессов', 'UML']",middle+/senior
126737276,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,не указано,от 1 года до 3 лет,Газпромбанк,2025-10-20,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",junior+/middle
126808460,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,Р-Софт,2025-10-22,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",middle+/senior
126615220,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,гибрид,от 3 до 6 лет,Mediascope,2025-10-16,"['SQL', 'Анализ данных', 'Python', 'DataLens', 'Power BI']",middle+/senior
126565779,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,не указано,от 1 года до 3 лет,Севентек,2025-10-15,"['REST', 'SOAP', 'Работа с базами данных', 'BPMN']",junior+/middle
126787124,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Казань,не указано,от 1 года до 3 лет,TravelLine,2025-10-21,"['Битрикс24', 'Аналитическое мышление', 'Анализ бизнес-процессов', 'Системный анализ', 'Оптимизация бизнес-процессов', 'Моделирование бизнес-процессов', 'Описание бизнес-процессов', 'MS Excel', 'Разработка технических заданий', 'Atlassian Confluence']",junior+/middle
126832827,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,гибрид,нет опыта,МТС,2025-10-22,['SQL'],стажёр/junior
126748500,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Санкт-Петербург,не указано,от 1 года до 3 лет,Продамус,2025-10-20,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",junior+/middle
126827220,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Новосибирск,гибрид,от 3 до 6 лет,Axmor,2025-10-22,"['UML', 'BPMN', 'Постановка задач разработчикам', 'Бизнес-анализ', 'User Story', 'ERP', 'Разработка бизнес-требований']",middle+/senior
126819765,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,Системная Интеграция,2025-10-22,"['BPMN', 'UML', 'Системный анализ', 'Постановка задач разработчикам', 'HTTP', 'FTP', 'API', 'REST', 'SOAP', 'Архитектура ПО', 'XML', 'Xsd', 'JSON', 'MS SQL', 'Java', 'Apache Kafka', 'RabbitMQ']",middle+/senior
126736991,Аналитик,110000.0,200000.0,RUR,Аналитик,Санкт-Петербург,гибрид,нет опыта,SKAI,2025-10-20,"['Excel', 'Визуализация данных', 'Грамотная речь', 'Ориентация на клиента', 'Сводные таблицы', 'Отчетность', 'Клиентоориентированность', 'Консультирование клиентов', 'Работа с большим объемом информации', 'Аналитика', 'Сбор и анализ информации']",стажёр/junior
126023437,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,Сравни,2025-10-01,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",middle+/senior
126562421,Аналитик,90000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Казань,не указано,нет опыта,Your CodeReview,2025-10-15,"['SQL', 'Python', 'Power BI', 'Анализ данных', 'PostgreSQL']",стажёр/junior
126816280,Системный аналитик,96000.0,200000.0,RUR,Аналитик,Новосибирск,гибрид,от 1 года до 3 лет,Новосибирскэнергосбыт,2025-10-22,"['UML', 'BPMN', 'MS Visio', 'Бизнес-анализ', 'Системный анализ', 'Разработка функциональных требований', 'Разработка нефункциональных требований', 'Постановка задач разработчикам']",junior+/middle
126236007,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,гибрид,от 1 года до 3 лет,Лаборатория Наносемантика,2025-10-07,"['Бизнес-анализ', 'Аналитическое мышление', 'API', 'Моделирование бизнес-процессов', 'Автоматизация бизнес-процессов', 'Описание бизнес-процессов', 'Разработка бизнес-требований', 'Оптимизация бизнес-процессов', 'Разработка пользовательской документации', 'Анализ рисков', 'Проектная документация']",junior+/middle
120228441,Аналитик,140000.0,225000.0,RUR,Продуктовый аналитик,Москва,гибрид,от 3 до 6 лет,Lamoda Tech,2025-10-22,"['SQL', 'Python', 'A/B тесты']",middle+/senior
126742778,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Казань,гибрид,от 1 года до 3 лет,KiteGroup,2025-10-20,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",junior+/middle
126824729,Системный аналитик,110000.0,200000.0,RUR,Аналитик,Москва,гибрид,от 3 до 6 лет,Солантек,2025-10-22,"['SQL', 'Аналитическое мышление', 'Разработка технических заданий', 'Бизнес-анализ', 'BPMN']",middle+/senior
126784454,Аналитик,140000.0,225000.0,RUR,Продуктовый аналитик,Москва,гибрид,от 1 года до 3 лет,CloudPayments,2025-10-21,"['SQL', 'Анализ данных', 'A/B тесты', 'Python', 'Визуализация данных', 'Power BI']",junior+/middle
126722680,Аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,гибрид,от 1 года до 3 лет,Rambler&Co,2025-10-20,"['Бизнес-анализ', 'BPMN', 'SQL', 'Анализ бизнес-процессов', 'UML']",junior+/middle
126782753,Аналитик,110000.0,343000.0,RUR,Аналитик,Москва,не указано,от 3 до 6 лет,Деньги Вперед,2025-10-21,"['SQL', 'Аналитическое мышление', 'Разработка технических заданий', 'Бизнес-анализ', 'BPMN']",middle+/senior
126565854,Фуллстек аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,Инвейдерс,2025-10-15,"['Системный анализ', 'BPMN', 'UML', 'Draw.io', 'REST API']",middle+/senior
126831882,Фуллстек аналитик,110000.0,200000.0,RUR,Аналитик,Москва,гибрид,от 3 до 6 лет,DM Solutions,2025-10-22,['Бизнес-анализ'],middle+/senior
126651479,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,не указано,от 1 года до 3 лет,Клауд Ком,2025-10-20,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",junior+/middle
126795042,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,Инфосистемы Джет,2025-10-21,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",middle+/senior
126572881,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Санкт-Петербург,гибрид,нет опыта,ITGLOBAL.COM,2025-10-15,"['Бизнес-анализ', 'BPMN', 'SQL', 'Анализ бизнес-процессов', 'UML']",стажёр/junior
126729014,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,не указано,от 3 до 6 лет,Ай Девелоп Ит,2025-10-20,"['SQL', 'Atlassian Jira', 'Atlassian Confluence', 'Apache Kafka', 'BPMN', 'UML', 'REST']",middle+/senior
126725188,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,IVA Technologies,2025-10-20,"['SaaS', 'BPMN', 'Swagger', 'SQL', 'Микросервисная архитектура', 'Atlassian Jira', 'Atlassian Confluence']",middle+/senior
126707952,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,не указано,от 3 до 6 лет,Ред Софт,2025-10-20,"['Бизнес-анализ', 'BPMN', 'SQL', 'Анализ бизнес-процессов', 'UML']",middle+/senior
126793118,Фуллстек аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,KTS,2025-10-21,"['Бизнес-анализ', 'BPMN', 'Работа с большим объемом информации', 'Разработка технических заданий', 'Системный анализ']",middle+/senior
125880962,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,Арго студио,2025-09-29,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",middle+/senior
126817820,оператор данных,50000.0,50000.0,RUR,"BI-аналитик, аналитик данных",Москва,не указано,от 1 года до 3 лет,Ventra,2025-10-22,"['SQL', 'Python', 'Power BI', 'Анализ данных', 'PostgreSQL']",junior+/middle
126724051,Аналитик,80000.0,100000.0,RUR,Аналитик,Москва,не указано,от 1 года до 3 лет,M1,2025-10-20,"['SQL', 'Анализ требований', 'Аналитическое мышление', 'Визуализация данных', 'Power BI']",junior+/middle
126789783,Аналитик,110000.0,200000.0,RUR,Аналитик,Москва,не указано,нет опыта,Navio (ООО Автотех),2025-10-21,"['SQL', 'Аналитическое мышление', 'Разработка технических заданий', 'Бизнес-анализ', 'BPMN']",стажёр/junior
126724837,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,«Баланс-Платформа»,2025-10-20,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",middle+/senior
126836956,Аналитик,140000.0,225000.0,RUR,Продуктовый аналитик,Москва,гибрид,от 1 года до 3 лет,Ситидрайв,2025-10-22,"['Математическая статистика', 'SQL', 'Python', 'A/B тесты']",junior+/middle
126239211,Аналитик,110000.0,200000.0,RUR,Аналитик,Москва,не указано,нет опыта,ITFB Group,2025-10-07,"['SQL', 'Аналитическое мышление', 'Разработка технических заданий', 'Бизнес-анализ', 'BPMN']",стажёр/junior
126248374,Аналитик,130000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,не указано,от 1 года до 3 лет,AnyClass,2025-10-07,"['SQL', 'MS Excel']",junior+/middle
126741476,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,Рокетбанк,2025-10-20,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",middle+/senior
126743874,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,гибрид,от 1 года до 3 лет,VK,2025-10-20,"['SQL', 'Python', 'Power BI', 'Анализ данных', 'PostgreSQL']",junior+/middle
125895268,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,не указано,от 3 до 6 лет,HolyCode,2025-09-29,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",middle+/senior
125950120,Системный аналитик,110000.0,200000.0,RUR,Аналитик,Москва,не указано,нет опыта,TKV Group,2025-09-30,"['SQL', 'Аналитическое мышление', 'Разработка технических заданий', 'Бизнес-анализ', 'BPMN']",стажёр/junior
124511892,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,Mediascope,2025-10-03,"['SQL', 'Apache Kafka', 'RabbitMQ', 'REST API', 'API', 'Микросервисная архитектура']",middle+/senior
126780283,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,не указано,от 3 до 6 лет,Бэнкс Софт Системс,2025-10-21,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",middle+/senior
126570605,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Новосибирск,не указано,от 1 года до 3 лет,Динамика,2025-10-21,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",junior+/middle
126773887,Аналитик,200000.0,230000.0,RUR,"BI-аналитик, аналитик данных",Москва,не указано,от 3 до 6 лет,IT-Implant,2025-10-21,"['SQL', 'Python', 'Power BI', 'Анализ данных', 'PostgreSQL']",middle+/senior
125762876,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,не указано,от 3 до 6 лет,Altenar,2025-09-25,"['Бизнес-анализ', 'BPMN', 'SQL', 'Анализ бизнес-процессов', 'UML']",middle+/senior
126529723,Бизнес-аналитик,170000.0,210000.0,RUR,Бизнес-аналитик,Москва,не указано,от 3 до 6 лет,Dex,2025-10-20,"['BPMN', 'Бизнес-анализ', 'Лизинг', 'MS Excel', 'Сбор требований', 'Анализ требований', 'Документирование бизнес-требований']",middle+/senior
126791673,Аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 3 до 6 лет,ФГБУ ГИВЦ Минкультуры России,2025-10-21,"['SQL', 'PostgreSQL', 'IDEF', 'BPMN', 'UML']",middle+/senior
126080731,Системный аналитик,50000.0,100000.0,RUR,Системный аналитик,Самара,не указано,нет опыта,VDcom,2025-10-02,"['Аналитический склад ума', 'Аналитическое мышление', 'UML', 'BPMN', 'Atlassian Confluence', 'Business Analysis', 'System Analysis', 'Stock market', 'Ценные бумаги', 'SQL', 'JSON API', 'XML', 'HTTP', 'REST', 'Критическое мышление']",стажёр/junior
123366147,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,не указано,от 1 года до 3 лет,Синхро,2025-10-07,"['REST', 'BPMN', 'Моделирование бизнес процессов', 'UML', 'API', 'Atlassian Confluence', 'SQL']",junior+/middle
123548425,ML-разработчик,220000.0,280000.0,RUR,Дата-сайентист,Москва,гибрид,нет опыта,IDF Eurasia,2025-09-29,"['SQL', 'Python', 'Визуализация данных']",стажёр/junior
126298182,Системный аналитик,130000.0,23200.0,RUR,Системный аналитик,Казань,не указано,нет опыта,ICL Services,2025-10-08,"['Аналитическое мышление', 'Системный анализ', 'Бизнес-анализ']",стажёр/junior
125515568,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,гибрид,от 1 года до 3 лет,Авито,2025-10-20,"['BPMN', 'UML', 'Draw.io', 'SQL', 'Моделирование бизнес процессов', 'Разработка бизнес-требований', 'Agile', 'Scrum', 'Kanban']",junior+/middle
126811213,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Ростов-на-Дону,не указано,от 3 до 6 лет,ИТРУМ,2025-10-22,"['Аналитическое мышление', 'Бизнес-анализ', 'Системный анализ', 'BPMN', 'Use case']",middle+/senior
125978804,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,не указано,нет опыта,Островок,2025-09-30,"['Английский язык', 'SQL']",стажёр/junior
124778414,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,гибрид,от 1 года до 3 лет,Сравни,2025-09-29,"['SQL', 'Python', 'Power BI', 'Анализ данных', 'PostgreSQL']",junior+/middle
126721514,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,не указано,более 6 лет,1001 LABS,2025-10-20,"['BPMN', 'UML', 'Бизнес-анализ', 'Анализ требований']",senior+
126749396,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,гибрид,от 1 года до 3 лет,Bell Integrator,2025-10-20,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",junior+/middle
126648931,ML-разработчик,220000.0,280000.0,RUR,Дата-сайентист,Санкт-Петербург,гибрид,от 1 года до 3 лет,Интеллектуальные Системы Управления,2025-10-17,"['Python', 'SQL', 'PyTorch', 'Apache Airflow', 'pandas']",junior+/middle
126258660,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Санкт-Петербург,не указано,от 1 года до 3 лет,Нмаркет.ПРО,2025-10-14,"['Python', 'SQL', 'Power BI', 'DAX', 'Tableau', 'Бизнес-анализ', 'Анализ данных', 'BPMN', 'UML', 'MS SQL', 'Аналитика', 'Базы данных']",junior+/middle
126646575,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,не указано,от 3 до 6 лет,Атомдата-Интеграция,2025-10-17,"['Бизнес-анализ', 'Разработка пользовательской документации', 'Моделирование бизнес-процессов', 'Разработка бизнес-требований']",middle+/senior
126721879,Бизнес-аналитик,130000.0,245000.0,RUR,Системный аналитик,Екатеринбург,не указано,нет опыта,ИТ-Элемент29,2025-10-20,"['BPMN', 'Системный анализ', 'SQL', 'UML', 'Бизнес-анализ']",стажёр/junior
126549476,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Санкт-Петербург,не указано,от 1 года до 3 лет,TeamLead,2025-10-15,"['User Story', 'Use case', 'Анализ требований', 'BPMN', 'UML', 'Документирование бизнес-требований', 'Scrum', 'Agile', 'Atlassian Jira', 'YouTrack', 'Figma', 'REST API']",junior+/middle
125515567,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Санкт-Петербург,гибрид,от 1 года до 3 лет,Авито,2025-10-20,"['BPMN', 'UML', 'Draw.io', 'SQL', 'Моделирование бизнес процессов', 'Разработка бизнес-требований', 'Agile', 'Scrum', 'Kanban']",junior+/middle
126187981,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,не указано,от 1 года до 3 лет,Skyeng,2025-10-06,"['SQL', 'Python', 'Power BI', 'Анализ данных', 'PostgreSQL']",junior+/middle
126572113,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,не указано,от 3 до 6 лет,X5,2025-10-15,"['Atlassian Jira', 'Atlassian Confluence', 'Agile Project Management', 'Scrum', 'EPC', 'BPMN', 'Kanban', 'Retail']",middle+/senior
126083111,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,не указано,нет опыта,Нетология,2025-10-02,"['SQL', 'Python', 'Power BI', 'Анализ данных', 'PostgreSQL']",стажёр/junior
126602468,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,не указано,от 3 до 6 лет,МВС ГРУП,2025-10-16,"['SQL', 'Бизнес-анализ', 'Системный анализ', 'Документирование бизнес-требований']",middle+/senior
126767535,Инженер данных,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,гибрид,от 3 до 6 лет,X5,2025-10-21,"['SQL', 'Apache Airflow', 'Clickhouse', 'Извлечение данных', 'Сбор требований', 'Анализ требований', 'Предобработка данных', 'Визуализация данных', 'Интерпретация данных', 'Python', 'pandas', 'Работа с большим объемом информации', 'Исследовательский анализ данных']",middle+/senior
126672240,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,гибрид,от 3 до 6 лет,Digital Design,2025-10-17,"['Проектная документация', 'Бизнес-анализ', 'Сбор требований', 'СЭД', 'BPMN', 'IDEF0', 'IDEF3', 'UML', 'Разработка технических заданий']",middle+/senior
126080714,ML-разработчик,90000.0,115000.0,RUR,"BI-аналитик, аналитик данных",Москва,не указано,нет опыта,ЕМЕ,2025-10-20,"['Математическая статистика', 'Математическое моделирование', 'ML', 'Математический анализ', 'Data Science', 'Машинное обучение', 'Machine Learning', 'Numpy', 'Docker']",стажёр/junior
126793020,Аналитик,110000.0,200000.0,RUR,Аналитик,Москва,не указано,от 3 до 6 лет,Kokoc Group,2025-10-21,"['Google Analytics', 'Яндекс.Метрика', 'GTM', 'Power BI', 'MS Excel', 'Google Shees', 'SQL', 'WEB аналитика', 'Автоматизация процессов', 'Анализ данных']",middle+/senior
126315420,Аналитик,110000.0,200000.0,RUR,Аналитик,Москва,гибрид,от 3 до 6 лет,Robusta,2025-10-08,"['SQL', 'Python', 'Анализ данных']",middle+/senior
126572055,Системный аналитик,130000.0,245000.0,RUR,Системный аналитик,Москва,не указано,от 3 до 6 лет,X5,2025-10-15,"['Apache Kafka', 'Clickhouse', 'Greenplum', 'Hadoop', 'JavaScript', 'Java', 'Lua']",middle+/senior
126606480,Бизнес-аналитик,135000.0,180000.0,RUR,Бизнес-аналитик,Москва,гибрид,от 1 года до 3 лет,Девелоника,2025-10-16,"['Бизнес-анализ', 'BPMN', 'SQL', 'Анализ бизнес-процессов', 'UML']",junior+/middle
126627129,Аналитик,70000.0,76000.0,RUR,Аналитик,Москва,не указано,нет опыта,Такском,2025-10-16,"['SQL', 'MS Excel', 'Анализ данных']",стажёр/junior
126674767,Аналитик,110000.0,250000.0,RUR,"BI-аналитик, аналитик данных",Москва,не указано,от 1 года до 3 лет,Спортмастер,2025-10-17,"['SQL', 'Python', 'AppsFlyer', 'Appmetrica', 'Google Analytics', 'Firebase', 'Tableau', 'Power BI', 'AdJust', 'Событийная аналитика']",junior+/middle
126794304,Инженер данных,220000.0,280000.0,RUR,Дата-сайентист,Москва,не указано,от 3 до 6 лет,Цифровые привычки,2025-10-21,"['DWH', 'SQL', 'PostgreSQL', 'ETL']",middle+/senior
